Cueanexo,Nombre_EE,Sector,Ámbito,Código de localidad,Localidad,Primario,Secundario,Jardín,id_depto
220178100,E.E.P. Nº 1027 - FEDERICO HELD,Estatal,Urbano,22028001,CHARATA,1,0,0,22028
220183900,E.E.P. Nº 1035,Estatal,Rural,22063121,VILLA RIO BERMEJITO,1,0,0,22063
260028900,ESTRELLA DE MAR,Estatal,Urbano,26021004,COMODORO RIVADAVIA,1,0,0,26021
260037500,Gabina Del Carmen Suarez De Magallanes,Estatal,Urbano,26021030,BARRIO SARMIENTO,1,0,0,26021
300011100,CLOTILDE GARCIA SOLER DE MIHURA 59,Estatal,Rural,30077026,DISTRITO SAUCE,1,0,0,30077
300030900,BASES 26,Estatal,Rural,30008001,ALDEA SAN GREGORIO,1,0,0,30008
300039300,DEL PERICON 63,Estatal,Rural,30070004,ALCARAZ SEGUNDO,1,0,0,30070
300040200,TRATADO DE ALCARAZ 66,Estatal,Rural,30070052,COLONIA SAN CARLOS,1,0,0,30070
300044800,HIPOLITO BUCHARDO 20,Estatal,Rural,30113030,MOJONES NORTE,1,0,0,30113
300045800,2 DE ABRIL 105,Estatal,Rural,30113071,RAICES ESTE,1,0,0,30113
300062100,SAN LORENZO 74,Estatal,Rural,30056028,ALDEA SANTA CELIA,1,0,0,30056
300079100,JUANA MANUELA GORRITI 138,Estatal,Urbano,30084012,CERRITO,1,0,0,30084
300080600,BLAS PARERA 70,Estatal,Rural,30084006,ANTONIO TOMAS,1,0,0,30084
300087100,LIBERTAD 11,Estatal,Rural,30077006,COLONIA ALGARROBITOS,1,0,0,30077
300089000,LA CALERA 34,Estatal,Rural,30063036,EL SALADERO,1,0,0,30063
300171600,PASO DE USPALLATA 62,Estatal,Rural,30070049,COLONIA EL SAUCESITO,1,0,0,30070
300209100,PRIV. PLAZA MAYOR 171,Privado,Urbano,30084041,PARANA,1,0,0,30084
300340400,LAZARINA LAMBERT DE SARDOU 86,Estatal,Urbano,30008008,COLON,1,0,0,30008
340004700,EPEP Nº 457,Estatal,Rural,34042094,VISTA ALEGRE,1,0,0,34042
340008900,EPEP Nº 465 GABRIEL Y DARIO RAMOS,Estatal,Rural,34021020,COLONIA EL DORADO,1,0,0,34021
340029402,EPEP Nº 188 ANEXO 2 - Bº AMARILLA,Estatal,Rural,34063065,MISION SAN ANDRES,1,0,0,34063
340032000,EPEP Nº211 CORONEL JOSE FELIX BOGADO,Estatal,Rural,34049059,ISLA APANDO,1,0,0,34049
340041900,EPEP Nº 60 RUBÉN PANDO,Estatal,Rural,34056137,ESTERO PATIÑO,1,0,0,34056
340045600,EPEP Nº397 BRIG.GRAL.JUAN MANUEL DE ROSAS,Estatal,Urbano,34049013,CLORINDA,1,0,0,34049
340052400,EPEP Nº 13 REPUBLICA ARGENTINA,Estatal,Rural,34035176,EL RECREO,1,0,0,34035
340057400,EPEP Nº261 PROVINCIA DE CATAMARCA,Estatal,Rural,34063061,MARIA CRISTINA,1,0,0,34063
340059300,EPEP Nº396 SALVADOR CAYETANO FORMOSA,Estatal,Urbano,34014051,FORMOSA,1,0,0,34014
340059600,EPEP Nº225 LUISA S. DE CASTAÑEDA,Estatal,Urbano,34014051,FORMOSA,1,0,0,34014
340064000,EPEP Nº 83 JUAN CARLOS DIORIO,Estatal,Rural,34035248,FORTIN CABO 1° LUGONES,1,0,0,34035
380014400,ESCUELA N 122 JULIO ARGENTINO ROCA,Estatal,Rural,38028094,VICUÑAYOC,1,0,0,38028
380023000,ESCUELA N 202 GRAL ENRIQUE MOSCONI,Estatal,Urbano,38035120,YUTO,1,0,0,38035
380027000,ESCUELA N 261 PROVINCIA DE TUCUMAN,Estatal,Urbano,38035064,LIBERTADOR GENERAL SAN MARTIN,1,0,0,38035
380053400,ESCUELA N 431 ISABEL LA CATÓLICA,Estatal,Urbano,38021080,SAN SALVADOR DE JUJUY,1,0,0,38021
380066600,ESCUELA N 451,Estatal,Urbano,38021080,SAN SALVADOR DE JUJUY,1,0,0,38021
420002800,Escuela Nº 249 Herminia Gandini de Díaz,Estatal,Urbano,42133010,REALICO,1,0,0,42133
420005300,Escuela Nº 47 Presidente Arturo Illia,Estatal,Rural,42056002,CEBALLOS,1,0,0,42056
420006700,Escuela Nº 17 Doctor Francisco Javier Muñiz,Estatal,Urbano,42056005,INTENDENTE ALVEAR,1,0,0,42056
420022500,Escuela Nº 62 Maestros Puntanos,Estatal,Urbano,42140008,TOAY,1,0,0,42140
420023300,Escuela Nº 104 Roberto Fredio Frediani,Estatal,Urbano,42035011,WINIFREDA,1,0,0,42035
420030200,Escuela Nº 95 República de Francia,Estatal,Urbano,42021008,SANTA ROSA,1,0,0,42021
420035200,Escuela Nº 194 Pablo Pizzurno,Estatal,Rural,42070011,COLONIA SAN JUAN,1,0,0,42070
420037400,Escuela Nº 175 Teniente Abelardo Daza,Estatal,Rural,42084001,CUCHILLO CO,1,0,0,42084
460014700,ESC.N°270 BELINDO DE LA FUENTEJ.C.,Estatal,Rural,46021004,ANJULLON,1,0,0,46021
460016600,ESC.N°135 JOSE ARMANDO QUIROGA SOAJE,Estatal,Rural,46028012,LA MARAVILLA,1,0,0,46028
460030300,ESC.N°258 ROSARIO VERA PEÑALOZA,Estatal,Urbano,46035005,CHAMICAL,1,0,0,46035
